Date,Open,High,Low,Close,Adj Close,Volume
2021-01-27,221.970001,223.220001,217.800003,219.669998,219.669998,263413
2021-01-28,220.009995,225.350006,220.009995,223.500000,223.500000,102034
2021-01-29,223.179993,224.470001,219.199997,220.000000,220.000000,130961
2021-02-01,220.380005,223.479996,220.380005,221.300003,221.300003,209178
2021-02-02,221.509995,223.850006,221.119995,222.229996,222.229996,184775
2021-02-03,222.220001,223.699997,221.000000,223.000000,223.000000,217586
2021-02-04,223.000000,228.000000,222.649994,227.600006,227.600006,134068
2021-02-05,228.300003,229.559998,224.559998,226.500000,226.500000,253945
2021-02-08,227.000000,228.679993,223.910004,227.000000,227.000000,144967
2021-02-09,227.520004,230.460007,226.350006,228.000000,228.000000,214477
2021-02-10,230.000000,230.460007,226.139999,228.300003,228.300003,186412
2021-02-11,226.990005,228.990005,226.550003,228.479996,228.479996,182384
2021-02-12,228.990005,229.399994,227.369995,229.399994,229.399994,74870
2021-02-17,null,null,null,null,null,null
2021-02-18,229.070007,231.229996,228.529999,229.800003,229.800003,101523
2021-02-19,230.279999,231.089996,228.000000,228.000000,228.000000,146023
2021-02-22,229.610001,232.600006,229.240005,229.500000,229.500000,370006
2021-02-23,228.220001,229.380005,224.000000,228.000000,228.000000,170380
2021-02-24,228.009995,231.000000,227.160004,230.750000,230.750000,181103
2021-02-25,230.800003,232.779999,228.300003,229.029999,229.029999,230756
2021-02-26,229.199997,233.449997,228.009995,231.000000,231.000000,266509
2021-03-01,233.309998,238.800003,232.729996,238.800003,238.800003,351207
2021-03-02,239.399994,241.630005,237.779999,238.399994,238.399994,422947
2021-03-03,240.009995,241.960007,231.149994,232.100006,232.100006,611696
2021-03-04,232.110001,233.199997,228.000000,231.300003,231.300003,329699
2021-03-05,232.500000,238.160004,230.210007,237.000000,237.000000,432343
2021-03-08,237.750000,243.250000,237.750000,243.250000,243.250000,546602
2021-03-09,244.119995,248.789993,243.509995,244.250000,244.250000,480036
2021-03-10,243.259995,243.919998,238.929993,240.679993,240.679993,382672
2021-03-11,238.800003,239.100006,236.419998,236.949997,236.949997,435975
2021-03-12,237.880005,237.880005,237.880005,237.880005,237.880005,0
2021-03-15,242.139999,242.139999,242.139999,242.139999,242.139999,0
2021-03-16,239.889999,239.889999,239.889999,239.889999,239.889999,0
2021-03-17,243.800003,243.800003,243.800003,243.800003,243.800003,0
2021-03-18,235.559998,235.559998,235.559998,235.559998,235.559998,0
2021-03-19,233.460007,233.460007,233.460007,233.460007,233.460007,0
2021-03-22,236.100006,236.100006,236.100006,236.100006,236.100006,0
2021-03-23,232.910004,232.910004,232.910004,232.910004,232.910004,0
2021-03-24,233.309998,233.309998,233.309998,233.309998,233.309998,0
2021-03-25,239.710007,239.710007,239.710007,239.710007,239.710007,0
2021-03-26,245.550003,245.550003,245.550003,245.550003,245.550003,0
